Company Name,Address,Phone,Website,Mail,Facebook,Instagram,Company Link,Company ID
KFC ehf,,570 6761,http://www.kfc.is/,mailto:kfc@kfc.is,https://www.facebook.com/kfc.is,,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/5401983149,540198-3149
Hamborgarabúlla Tómasar,,511 0800,http://www.bullan.is/,,https://www.facebook.com/hamborgarabullan/,https://instagram.com/hamborgarabullatomasar/,,
Sky Lagoon,"Vesturvör 44, 200 Kópavogi",527 6800,https://www.skylagoon.com/,mailto:info@skylagoon.is,https://www.facebook.com/SkyLagoonIceland/,https://instagram.com/skylagooniceland/,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/6502190580,650219-0580
Forest Lagoon - Skógarböð,"Skógarböðum, 605 Akureyri (dreifbýli)",585 0090,http://www.forestlagoon.is/,mailto:info@forestlagoon.is,https://www.facebook.com/Sk%C3%B3garb%C3%B6%C3%B0-106137405187090,https://instagram.com/forestlagoon,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/5211201420,521120-1420
Brasserie Kársnes,"Hafnarbraut 13b, 200 Kópavogi",517 2020,https://www.brasseriekarsnes.is/,mailto:info@brasseriekarsnes.is,https://www.facebook.com/BrasserieKarsnes,https://www.instagram.com/brasserie_karsnes/,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/4502210580,450221-0580
Smáralind ehf,"Hagasmára 1 Smáralind, 201 Kópavogi",528 8000,https://www.smaralind.is/,mailto:smaralind@smaralind.is,https://www.facebook.com/pages/Sm%C3%A1ralind/99533063749,https://www.instagram.com/smaralind/,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/5504962329,550496-2329
Center Hotels Aðalskrifstofa,"Þverholti 14, 105 Reykjavík",595 8500,https://www.centerhotels.com/,,https://www.facebook.com/CenterHotels,https://www.instagram.com/centerhotels/,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/4509051430,450905-1430
Ísey Skyr Bar,,,https://iseyskyrbar.is/,,https://www.facebook.com/iseyskyrbar,,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/4110033370,411003-3370
Kúmen,"Kringlunni 4-12, 103 Reykjavík",517 9000,https://kumen.is/,mailto:kumen@kumen.is,https://www.facebook.com/kumenreykjavik,https://www.instagram.com/kumen_reykjavik/,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/5004002930,500400-2930
Hótel Rangá,"Suðurlandsvegi, 851 Hellu (dreifbýli)",487 5700,https://www.hotelranga.is/,mailto:hotelranga@hotelranga.is,https://www.facebook.com/hotelranga?fref=ts,,http://www.rsk.is/fyrirtaekjaskra/leit/kennitala/6410051420,641005-1420
